scheme_id,scheme_name,launched_by,target_farmers,min_land_acres,max_land_acres,eligible_crops,eligible_states,eligible_castes,max_annual_income,benefit_summary,benefit_amount,documents_required,how_to_apply,application_portal,scheme_category
CENTRAL_001,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Government of India - Ministry of Agriculture and Farmers Welfare,"Landholding farmer families across India, subject to exclusion criteria in scheme guidelines",0,999,all,all,all,999999999,"Direct income support transferred to eligible farmer families in three equal installments each year","INR 6000 per year","Aadhaar, bank account, land records, mobile number","Register through the PM-KISAN portal or the local agriculture/revenue office for state verification",https://pmkisan.gov.in/,income_support
CENTRAL_002,PMFBY (Pradhan Mantri Fasal Bima Yojana),Government of India - Ministry of Agriculture and Farmers Welfare,"Farmers growing notified crops in notified areas, including sharecroppers and tenant farmers with insurable interest",0,999,"rice,wheat,maize,pulses,oilseeds,cotton,sugarcane,potato,onion,apple,horticulture crops",all,all,999999999,"Crop insurance against yield loss from non-preventable natural risks and localized calamities","Farmer premium generally 2% for Kharif food and oilseed crops, 1.5% for Rabi food and oilseed crops, and 5% for annual commercial or horticultural crops","Aadhaar, bank account, land or tenancy proof, sowing certificate where required, crop details","Apply through the National Crop Insurance Portal, bank branch, CSC, or insurance intermediary before the notified cutoff date",https://pmfby.gov.in/,insurance
CENTRAL_003,PM Kisan Maan Dhan Yojana (PM-KMY),Government of India - Ministry of Agriculture and Farmers Welfare,"Small and marginal landholding farmers aged 18 to 40 years with cultivable land up to 2 hectares",0,4.94,all,all,all,999999999,"Voluntary contributory pension with matching central government contribution","Minimum assured pension of INR 3000 per month after age 60","Aadhaar, bank account, land record, mobile number, age proof","Enroll at the PM-KMY portal or Common Service Centre; PM-KISAN beneficiaries may authorize contribution from PM-KISAN benefits",https://maandhan.in/,pension
CENTRAL_004,Kisan Credit Card (KCC),Reserve Bank of India and Department of Financial Services,"Farmers, tenant farmers, oral lessees, sharecroppers, self-help groups, joint liability groups, and allied activity farmers needing crop or working-capital credit",0,999,all,all,all,999999999,"Flexible short-term credit for crop production, post-harvest needs, consumption needs, farm assets, animal husbandry and fisheries working capital","Short-term crop loans up to INR 3 lakh are eligible for concessional interest benefits subject to current MISS rules","Identity proof, address proof, land or tenancy details, crop pattern, bank account, photographs","Apply at a commercial bank, cooperative bank, regional rural bank, or through Kisan Rin/KCC campaign channels",https://fasalrin.gov.in/,credit
CENTRAL_005,Soil Health Card Scheme,Government of India - Ministry of Agriculture and Farmers Welfare,"All farmers seeking soil nutrient testing and crop-wise fertilizer recommendations",0,999,all,all,all,999999999,"Soil testing and soil health card with recommendations for nutrients, amendments and balanced fertilizer use","Soil testing and advisory service; no direct cash transfer to farmer","Farmer identity, land details, soil sample details, mobile number","Contact the District Agriculture Office or use the Soil Health Card portal where state services are enabled",https://soilhealth.dac.gov.in/,soil_health
CENTRAL_006,PMKSY (Pradhan Mantri Krishi Sinchayee Yojana),Government of India - Ministry of Jal Shakti and Ministry of Agriculture and Farmers Welfare,"Farmers and communities needing irrigation coverage, water-use efficiency, micro-irrigation, watershed development, or water source creation",0,999,all,all,all,999999999,"Support for irrigation expansion, Har Khet Ko Pani, watershed development, and Per Drop More Crop interventions","Subsidy and project assistance vary by component and state annual action plan","Land records, Aadhaar, bank details, irrigation project estimate, farmer registration","Apply through the State Agriculture/Horticulture Department under approved PMKSY components",https://pmksy.gov.in/,irrigation
CENTRAL_007,eNAM (National Agriculture Market),Government of India - Small Farmers Agribusiness Consortium,"Farmers, FPOs, traders and commission agents linked to regulated APMC mandis onboarded to eNAM",0,999,all,all,all,999999999,"Online trading, price discovery, quality assaying support, and transparent settlement through integrated mandis","Market-access service; payment depends on actual sale transaction","Farmer identity, bank account, mobile number, mandi registration details","Register as a farmer or FPO through an eNAM mandi, mobile app, or the eNAM portal",https://enam.gov.in/,market_access
CENTRAL_008,Agriculture Infrastructure Fund (AIF),Government of India - Department of Agriculture and Farmers Welfare,"Farmers, FPOs, PACS, SHGs, JLGs, agri-entrepreneurs, startups, cooperatives, APMCs and eligible public-private projects creating post-harvest or community farm assets",0,999,all,all,all,999999999,"Medium to long-term debt financing support for post-harvest infrastructure and community farming assets","3% interest subvention per annum on loans up to INR 2 crore per project for up to 7 years, plus credit guarantee support where eligible","Aadhaar or entity documents, DPR, land or lease proof, bank details, project cost estimate, quotations","Register and apply online on the AIF portal with a detailed project report and chosen lending institution",https://agriinfra.dac.gov.in/,infrastructure
CENTRAL_009,PKVY (Paramparagat Krishi Vikas Yojana),Government of India - Department of Agriculture and Farmers Welfare,"Farmers adopting cluster-based organic or natural farming with PGS certification support",0,4.94,all,all,all,999999999,"Financial assistance for organic inputs, certification, capacity building, value addition and marketing in approved clusters","Assistance norms have included up to INR 50000 per hectare for 3 years under earlier PKVY and revised support through approved organic clusters","Aadhaar, land records, bank account, group or cluster details, crop details","Apply through State Agriculture Department, local agriculture extension office, or approved organic farming cluster",https://pgsindia-ncof.gov.in/,organic_natural
CENTRAL_010,MIDH (Mission for Integrated Development of Horticulture),Government of India - Department of Agriculture and Farmers Welfare,"Farmers and entrepreneurs growing or investing in fruits, vegetables, roots and tubers, mushrooms, spices, flowers, aromatic plants, coconut, cashew or cocoa",0,999,"apple,onion,potato,vegetables,fruits,flowers,spices,mushroom,aromatic plants,coconut,cashew,cocoa",all,all,999999999,"Assistance for horticulture area expansion, protected cultivation, planting material, nurseries, water resources, post-harvest management and processing","Subsidy varies by component; common assistance norms include 40% to 50% for many farmer components with higher norms for eligible regions/components","Aadhaar, land records, bank details, project estimate, crop plan, quotations","Apply through the State Horticulture Mission or the State Department of Horticulture",https://midh.gov.in/,horticulture
CENTRAL_011,RKVY (Rashtriya Krishi Vikas Yojana / PM-RKVY),Government of India - Department of Agriculture and Farmers Welfare,"Farmers and farmer institutions covered under state-approved agriculture and allied sector projects based on district and state plans",0,999,all,all,all,999999999,"State-flexible support for agriculture and allied sector development, infrastructure, innovation, value chains and farmer-centric projects","Benefit depends on approved state project and component norms","Aadhaar, land or activity proof, bank account, project-specific documents","Apply through the relevant State Agriculture, Horticulture, Animal Husbandry or allied department when the state opens the component",https://rkvy.da.gov.in/,state_agriculture
CENTRAL_012,National Livestock Mission (NLM),Government of India - Department of Animal Husbandry and Dairying,"Individuals, FPOs, SHGs, JLGs, companies and cooperatives establishing eligible poultry, sheep, goat, piggery, fodder or breed-development units",0,999,"fodder,maize,all",all,all,999999999,"Entrepreneurship and breed-development support for poultry, sheep, goat, piggery, fodder and feed infrastructure","50% capital subsidy with component-wise ceilings, commonly up to INR 25 lakh for poultry and up to INR 50 lakh for sheep/goat or eligible fodder units","Aadhaar or entity documents, DPR, land or lease proof, bank sanction, training or experience details where required","Apply online through the NLM Udyamimitra portal and route the proposal through the State Implementing Agency and bank",https://nlm.udyamimitra.in/,livestock
CENTRAL_013,National Food Security and Nutrition Mission (NFSNM/NFSM),Government of India - Department of Agriculture and Farmers Welfare,"Farmers in approved districts and clusters growing rice, wheat, pulses, coarse cereals, nutri-cereals and eligible commercial crops under state action plans",0,999,"rice,wheat,maize,pulses,coarse cereals,barley,millets,nutri cereals,cotton,jute,sugarcane",all,all,999999999,"Demonstrations, seed support, improved practices, farm machinery and extension for raising foodgrain and nutrition-crop productivity","Benefit varies by crop component and state annual action plan","Aadhaar, land records, bank account, crop details, farmer registration","Apply through local Agriculture Department offices when demonstrations, seed distribution or component applications are opened",https://www.nfsm.gov.in/,food_security
CENTRAL_014,NMSA (National Mission for Sustainable Agriculture),Government of India - Department of Agriculture and Farmers Welfare,"Farmers in rainfed and climate-vulnerable areas adopting integrated farming systems, water-use efficiency, soil health management and resource conservation practices",0,999,all,all,all,999999999,"Support for climate-resilient agriculture, integrated farming, rainfed area development, soil health and resource conservation","Component-wise assistance through state annual action plans; no single fixed cash amount","Aadhaar, land records, bank account, activity plan, local agriculture office recommendation","Apply through the State Agriculture Department or district agriculture office under NMSA/RAD components",https://nmsa.dac.gov.in/,sustainable_agriculture
CENTRAL_015,Sub-Mission on Agricultural Mechanization (SMAM),Government of India - Department of Agriculture and Farmers Welfare,"Small, marginal, women, SC/ST and other farmers, groups, entrepreneurs and institutions needing farm machinery, custom hiring centres or machinery banks",0,999,all,all,all,999999999,"Subsidy support for farm machinery, equipment, custom hiring centres, hi-tech hubs and mechanization access","Assistance varies by machine and category; many individual equipment norms support 40% to 50% subsidy and higher support for some group/custom-hiring components","Aadhaar, land records, caste certificate if applicable, bank details, quotation, farmer registration","Apply through the DBT in Agriculture Mechanization portal or the State Agriculture Department",https://agrimachinery.nic.in/,mechanization
HP_016,HP Prakritik Kheti Khushhal Kisan Yojana (Natural Farming Mission),Government of Himachal Pradesh - Department of Agriculture,"Farmers and horticulturists in Himachal Pradesh adopting chemical-free natural farming practices",0,999,all,Himachal Pradesh,all,999999999,"Training, certification support and subsidies for natural farming inputs, indigenous cow purchase, drum purchase and cow-shed floor/urine collection infrastructure","Support includes up to INR 2250 for drums, up to INR 8000 for cow urine collection pit/cow-shed flooring, and 50% subsidy up to INR 25000 for an indigenous cow plus transport support as per state norms","Aadhaar, Himachal farmer registration, land details, bank account, natural farming registration details","Apply through the HP Agriculture Department, local extension office, or the SPNF/CETARA natural farming system",https://agriculture.hp.gov.in/en/our-scheme/prakritik-kheti-khushhal-kisan-yojna/,organic_natural
HP_017,Mukhyamantri Khet Sanrakshan Yojana (Crop Protection Fencing Subsidy),Government of Himachal Pradesh - Department of Agriculture,"Himachal Pradesh farmers needing crop protection from wild animals, stray animals and monkeys through approved fencing systems",0,999,all,Himachal Pradesh,all,999999999,"Subsidy for solar-powered fencing, interlink chain fencing, solar-interlinked chain fencing and barbed wire fencing under current HP crop protection guidelines","Current HP Agriculture information notes 70% subsidy since 2023-24 for approved fencing types","Aadhaar, land records, bank account, field map, estimate, farmer registration","Apply through the local Agriculture Development Officer or HP Agriculture scheme portal after site verification",https://agriculture.hp.gov.in/en/our-scheme/mukhya-mantri-krishi-utpadan-sanrakshan-yojna/,crop_protection
HP_018,HP Horticulture Development Scheme,Government of Himachal Pradesh - Department of Horticulture,"Himachal Pradesh horticulture growers seeking quality planting material, inputs, area expansion, post-harvest support or orchard development",0,999,"apple,stone fruits,citrus,kiwi,vegetables,flowers,spices,mushroom,horticulture crops",Himachal Pradesh,all,999999999,"Subsidy and technical support for horticulture inputs, planting material, orchards, post-harvest handling and allied horticulture activities","Component-wise subsidy through HP Horticulture Development Scheme, MIDH, RKVY and approved state norms","Aadhaar, land records, bank account, orchard details, quotations, photographs where required","Register on eUdyan and apply under the relevant Horticulture Development Scheme service",https://eudyan.hp.gov.in/Department/Portal/CitizenServices.aspx,horticulture
HP_019,HP Beekeeping Development Scheme,Government of Himachal Pradesh - Department of Horticulture,"Himachal Pradesh farmers, orchardists and trainees interested in beekeeping or pollination support",0,999,"apple,flowers,fruits,vegetables,all",Himachal Pradesh,all,999999999,"Training, improved bee colonies with hives, and pollination support services for horticulture and farm productivity","Training stipend/service support and bee colony/hive assistance as per Department of Horticulture norms","Aadhaar, farmer registration, bank account, training application, local horticulture office recommendation","Apply through eUdyan or the nearest Horticulture Development Officer/bee-keeping service centre",https://eudyan.hp.gov.in/Department/Portal/CitizenServices.aspx,beekeeping
HP_020,HP Polyhouse/Protected Cultivation Subsidy,Government of Himachal Pradesh - Department of Agriculture and Department of Horticulture,"Himachal Pradesh farmers adopting protected cultivation of vegetables, flowers and high-value horticulture crops",0,999,"vegetables,flowers,capsicum,tomato,cucumber,strawberry,horticulture crops",Himachal Pradesh,all,999999999,"Subsidy support for polyhouse, greenhouse, protected cultivation and renovation components under HP and MIDH-aligned schemes","Subsidy depends on current state/MIDH component; HP protected cultivation has historically provided high capital support with current component-specific approvals","Aadhaar, land records, bank account, project estimate, polyhouse layout, quotations","Apply through HP Agriculture/Horticulture offices or eUdyan protected cultivation services before construction",https://eudyan.hp.gov.in/Department/Portal/CitizenServices.aspx,protected_cultivation
HP_021,HP Irrigation Subsidy Scheme,Government of Himachal Pradesh - Department of Agriculture,"Himachal Pradesh farmers and communities needing wells, shallow wells, irrigation structures, micro-irrigation or small water harvesting support",0,999,all,Himachal Pradesh,all,999999999,"Assistance for flow irrigation, borewells/shallow wells, community water works, PMKSY-linked irrigation and water-use efficiency","Flow Irrigation Scheme provides 100% support for approved community works and 50% subsidy for individual borewells/shallow wells; other components follow PMKSY/state norms","Aadhaar, land records, bank account, water source details, estimate, community resolution if applicable","Apply through the local Agriculture Department office or HP Agriculture scheme portal after technical feasibility check",https://agriculture.hp.gov.in/en/our-scheme/flow-irrigation-scheme/,irrigation
HP_022,HP SC/ST Farmer Equipment Subsidy,Government of Himachal Pradesh - Department of Agriculture,"Scheduled Caste and Scheduled Tribe farmers in Himachal Pradesh purchasing approved farm machinery or equipment",0,999,all,Himachal Pradesh,"SC,ST",999999999,"Higher-category assistance for approved agricultural machinery such as power tillers, weeders, reapers, rotavators and other farm equipment","HP Agriculture notes 50% subsidy for SC, ST, small, marginal and women farmers under mechanization norms, compared with 40% for other farmers","Aadhaar, caste certificate, land records, bank account, quotation, farmer registration","Apply through the DBT agriculture mechanization process or HP Agriculture Department office",https://agriculture.hp.gov.in/en/our-scheme/sub-mission-on-agriculture-mechanization-smam/,mechanization
HP_023,HP Seed Subsidy Scheme,Government of Himachal Pradesh - Department of Agriculture,"Himachal Pradesh farmers purchasing approved seeds of cereals, pulses, oilseeds, fodder crops, potato, ginger or turmeric",0,999,"wheat,rice,maize,pulses,oilseeds,fodder,potato,ginger,turmeric,barley,millets",Himachal Pradesh,all,999999999,"Subsidized seeds and input support to increase crop productivity under Mukhyamantri Krishi Samvardhan Yojana components","50% subsidy on seeds of cereals, pulses, oilseeds and fodder crops; 25% subsidy on potato, ginger and turmeric seed as per HP Agriculture information","Aadhaar, farmer registration, land/crop details, bank account where subsidy is DBT-linked","Apply through agriculture extension offices, approved distribution centres, or HP Agriculture scheme channels during seed distribution windows",https://agriculture.hp.gov.in/en/our-scheme/mukhya-mantri-krishi-samvardhan-yojna/,seed_subsidy
HP_024,HP Sheep and Goat Rearing Subsidy,Government of Himachal Pradesh - Department of Animal Husbandry,"Himachal Pradesh farmers and rural households, with preference to unemployed SC/ST, women and eligible general category persons, seeking goat or small-ruminant livelihood units",0,999,all,Himachal Pradesh,all,200000,"Subsidized goat units and small-ruminant livelihood support for income generation and meat production","Krishak Bakri Palan Yojna provides goat units on 60% subsidy for eligible beneficiaries","Aadhaar, Himachal residence proof, income certificate, bank account, shed availability proof, application verified by Veterinary Officer","Apply through the Veterinary Officer or HP Animal Husbandry DBT portal for Krishak Bakri Palan Yojna",https://hpahdbt.hp.gov.in/Home/krishk_bakri_pala_yojna,livestock
HP_025,HP Mushroom Cultivation Scheme,Government of Himachal Pradesh - Department of Horticulture,"Himachal Pradesh farmers and trained growers interested in mushroom cultivation, compost supply and grower registration",0,999,mushroom,Himachal Pradesh,all,999999999,"Training, grower registration, pasteurized compost supply, spawn support and transport support for mushroom cultivation","Departmental norms include 10-day training support, free grower registration, compost subsidy for eligible categories and transport support up to road head near farm","Aadhaar, farmer registration, training details, bank account, mushroom grower registration form","Apply through eUdyan mushroom services or the nearest HP Horticulture mushroom development office",https://eudyan.hp.gov.in/Department/Portal/CitizenServices.aspx,mushroom
